category,reference_year_month,sales_reference_path,path_summary,manager,local_product_team,current_headquarters_id,current_headquarters,product_team_summary_end_month,west_md_end_month,east_md_end_month,md_summary_end_month,product_team_summary_current,current_west_md,current_east_md,md_summary_current,product_team_code,current_product_team,current_business_unit,current_path_department_code,current_path_department,product_category_major_name,product_category_sub,product_category_sub_name,product,product_name,pb_category,pb_category_summary,food_service_only_category,structure,sales_quantity_sku,sales_quantity_kg,sales_amount_gross_basis,sales_amount_gross_basis_summary,sales_cost_amount,product_profit_cost,moving_average_price,other_sales_cost,performance_bonus,company_adjusted_cost,company_adjusted_cost_summary,sales_profit_amount,sales_profit_amount_summary,notes,food_service_summary_flag,performance_summary_flag
FW,2024.08,Catering,General Catering,Processed Goods,West Product Team,3001,Catering Business,,,,,Sauce Team,Ava Choi,Noah Kim,Sophia Park,J2,Sauce Team,Catering North Business Div,8002,Catering Direct (Catering),Sauces,10060101,Soy Sauce,100601,Premium Soy Sauce (1L/Bottle),NB,NB,N,West Product Team,300.0,300.0,900000.0,900000.0,630000.0,-15000.0,615000.0,0.0,0.0,0.0,0.0,270000.0,270000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,Central Team,3001,Catering Business,,,,,Bakery Team,Liam Lee,Mia Choi,Ethan Kim,K3,Bakery Team,Catering Central Business Div,8003,Catering Direct (Silver),Bakery Products,11070101,Bread,110701,Whole Wheat Bread (500g/EA),NB,NB,N,Central Team,400.0,200.0,800000.0,800000.0,560000.0,-10000.0,550000.0,0.0,0.0,0.0,0.0,240000.0,240000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,East Product Team,3001,Catering Business,,,,,Frozen Food Team,Oliver Park,Sophia Lee,William Choi,L4,Frozen Food Team,Catering South Business Div,8002,Catering Direct (Catering),Frozen Foods,12080101,Pizza,120801,Pepperoni Pizza (Large 12inch/EA),NB,NB,N,East Product Team,150.0,75.0,1500000.0,1500000.0,1050000.0,-25000.0,1025000.0,0.0,0.0,0.0,0.0,450000.0,450000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,West Product Team,3001,Catering Business,,,,,Egg Team,Emma Park,Liam Lee,Ava Kim,M1,Egg Team,Catering North Business Div,8000,Catering Direct (Direct Management),Eggs,13090101,Chicken Eggs,130901,Fresh Eggs (30EA/Tray),NB,NB,N,West Product Team,200.0,360.0,1000000.0,1000000.0,700000.0,-15000.0,685000.0,0.0,0.0,0.0,0.0,300000.0,300000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,Central Team,3001,Catering Business,,,,,Canned Food Team,Noah Choi,Sophia Park,Oliver Kim,N2,Canned Food Team,Catering Central Business Div,8002,Catering Direct (Catering),Canned Foods,14100101,Tuna,141001,Canned Tuna in Oil (150g/Can),NB,NB,N,Central Team,1000.0,150.0,2000000.0,2000000.0,1400000.0,-30000.0,1370000.0,0.0,0.0,0.0,0.0,600000.0,600000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,East Product Team,3001,Catering Business,,,,,Mushroom Team,Mia Lee,Ethan Park,Emma Choi,O3,Mushroom Team,Catering South Business Div,8003,Catering Direct (Silver),Mushrooms,15110101,Shiitake,151101,Fresh Shiitake (Product KG),NB,NB,N,East Product Team,100.0,100.0,1500000.0,1500000.0,1050000.0,-20000.0,1030000.0,0.0,0.0,0.0,0.0,450000.0,450000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,West Product Team,3001,Catering Business,,,,,Condiment Team,William Lee,Oliver Park,Sophia Choi,P4,Condiment Team,Catering North Business Div,8002,Catering Direct (Catering),Condiments,16120101,Vinegar,161201,Apple Cider Vinegar (500ml/Bottle),NB,NB,N,West Product Team,300.0,150.0,900000.0,900000.0,630000.0,-15000.0,615000.0,0.0,0.0,0.0,0.0,270000.0,270000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,Central Team,3001,Catering Business,,,,,Tofu Team,Sophia Kim,Liam Park,Mia Lee,Q1,Tofu Team,Catering Central Business Div,8000,Catering Direct (Direct Management),Tofu Products,17130101,Firm Tofu,171301,Firm Tofu (500g/Pack),NB,NB,N,Central Team,500.0,250.0,750000.0,750000.0,525000.0,-10000.0,515000.0,0.0,0.0,0.0,0.0,225000.0,225000.0,,O,O
FW,2024.08,Catering,General Catering,Processed Goods,East Product Team,3001,Catering Business,,,,,Noodle Team,Ethan Choi,Emma Park,Noah Lee,R2,Noodle Team,Catering South Business Div,8002,Catering Direct (Catering),Noodles,18140101,Ramen,181401,Spicy Ramen (120g/Pack),NB,NB,N,East Product Team,2000.0,240.0,2000000.0,2000000.0,1400000.0,-40000.0,1360000.0,0.0,0.0,0.0,0.0,600000.0,600000.0,,O,O
FW,2024.08,Catering,General Catering,Fresh Goods,West Product Team,3001,Catering Business,,,,,Herb Team,Ava Lee,William Kim,Oliver Choi,S3,Herb Team,Catering North Business Div,8003,Catering Direct (Silver),Herbs,19150101,Basil,191501,Fresh Basil (50g/Bunch),NB,NB,N,West Product Team,200.0,10.0,400000.0,400000.0,280000.0,-5000.0,275000.0,0.0,0.0,0.0,0.0,120000.0,120000.0,,O,O
